罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,串挽,2021-11-20,08,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,野友,2021-06-10,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,鉾田,2021-03-28,17,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,鉾田,2021-07-29,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鉾田,所在地,082341,茨城県,鉾田市,安塚,2021-08-16,01,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鉾田,舟木駐在所,082341,茨城県,鉾田市,上冨田,2021-02-27,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鉾田,舟木駐在所,082341,茨城県,鉾田市,菅野谷,2021-05-16,08,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,舟木駐在所,082341,茨城県,鉾田市,徳宿,2021-02-22,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,鉾田,荒地駐在所,082341,茨城県,鉾田市,上太田,2021-04-26,17,道路上,その他,施錠した,なし
窃盗,車上ねらい,鉾田,荒地駐在所,082341,茨城県,鉾田市,田崎,2021-05-16,18,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-06-27,13,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-07-07,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-07-23,06,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-07-23,09,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-08-10,14,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-10-15,19,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字明石,2021-12-08,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字下津,2021-07-11,06,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字木滝,2021-01-19,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字宮中,2021-10-15,18,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,宮中６丁目,2021-04-06,07,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-06-26,11,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-07-06,03,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-07-11,05,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-07-12,09,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-07-20,11,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-09-21,07,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-10-23,10,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字清水,2021-12-08,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字神向寺,2021-06-26,12,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字神向寺,2021-07-06,03,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,高天原１丁目,2021-04-06,13,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字田野辺,2021-10-07,04,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字長栖,2021-07-04,05,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字鉢形,2021-04-29,23,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-06-26,05,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-07-01,07,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-07-11,05,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-07-23,04,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-12-18,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-12-18,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字平井,2021-12-18,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,港ケ丘２丁目,2021-08-23,21,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,大字港ケ丘,2021-01-06,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,鹿嶋,宮中交番,082228,茨城県,鹿嶋市,厨４丁目,2021-10-27,07,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字荒野,2021-07-17,06,道路上,その他,施錠せず,あり
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字荒野,2021-07-20,10,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字小山,2021-07-23,13,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字小山,2021-09-09,05,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字小山,2021-10-11,06,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字小山,2021-10-19,06,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,小山駐在所,082228,茨城県,鹿嶋市,大字小山,2021-10-24,12,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字青塚,2021-11-01,05,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字荒井,2021-03-14,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字荒井,2021-10-19,05,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字大小志崎,2021-03-06,16,その他,その他,施錠せず,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字大小志崎,2021-08-24,06,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字大小志崎,2021-08-31,14,その他,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字武井釜,2021-05-03,13,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字武井釜,2021-11-14,14,その他,その他,施錠せず,なし
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-07-29,16,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-08-10,14,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-08-21,15,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-09-21,05,道路上,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-10-14,07,その他,その他,施錠した,あり
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字角折,2021-10-23,11,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字浜津賀,2021-08-28,16,道路上,その他,施錠した,なし
窃盗,車上ねらい,鹿嶋,荒井駐在所,082228,茨城県,鹿嶋市,大字浜津賀,2021-11-01,05,その他,その他,施錠した,なし
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,小貫,2021-06-08,07,その他,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,小幡,2021-05-07,08,道路上,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,次木,2021-07-24,07,道路上,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,次木,2021-07-31,08,その他,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,南高岡,2021-09-26,11,その他,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,山田,2021-03-28,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,行戸,2021-07-24,00,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,吉川,2021-08-01,20,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,行方,北浦駐在所,082333,茨城県,行方市,両宿,2021-02-07,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,行方,新宮駐在所,082236,茨城県,潮来市,宮前１丁目,2021-03-23,18,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,行方,潮来地区交番,082236,茨城県,潮来市,潮来,2021-01-20,19,道路上,その他,施錠した,なし
窃盗,車上ねらい,行方,潮来地区交番,082236,茨城県,潮来市,潮来,2021-07-31,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,行方,潮来地区交番,082236,茨城県,潮来市,潮来,2021-09-13,10,その他,その他,施錠した,なし
窃盗,車上ねらい,行方,潮来地区交番,082236,茨城県,潮来市,日の出１丁目,2021-08-25,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,行方,牛堀駐在所,082236,茨城県,潮来市,牛堀,2021-10-15,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,行方,牛堀駐在所,082236,茨城県,潮来市,島須,2021-03-11,19,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,行方,玉造駐在所,082333,茨城県,行方市,沖洲,2021-08-26,15,その他,その他,施錠せず,あり
窃盗,車上ねらい,行方,玉造駐在所,082333,茨城県,行方市,羽生,2021-09-17,08,その他,その他,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,板橋町,2021-09-16,18,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,中根台５丁目,2021-11-10,13,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,城ノ内２丁目,2021-04-29,07,その他,その他,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,中里２丁目,2021-12-30,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,中里２丁目,2021-12-30,21,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,藤ケ丘２丁目,2021-06-24,15,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,たつのこ交番,082082,茨城県,龍ケ崎市,松ケ丘４丁目,2021-05-08,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,所在地,082082,茨城県,龍ケ崎市,,2021-02-23,18,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,竜ケ崎,所在地,082082,茨城県,龍ケ崎市,大徳町,2021-09-28,21,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,所在地,082082,茨城県,龍ケ崎市,,2021-04-02,10,その他,その他,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,所在地,082082,茨城県,龍ケ崎市,,2021-08-07,15,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,所在地,082082,茨城県,龍ケ崎市,,2021-11-12,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,竜ケ崎,源清田駐在所,084476,茨城県,河内町,手栗,2021-02-13,13,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,川原代町,2021-12-01,14,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,川原代町,2021-12-03,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,小通幸谷町,2021-12-03,20,道路上,その他,施錠した,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,佐貫町,2021-10-16,00,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,庄兵衛新田町,2021-04-20,19,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,羽黒町,2021-06-11,17,道路上,その他,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,若柴町,2021-09-03,08,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,若柴町,2021-12-04,00,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,長山４丁目,2021-08-26,20,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,竜ケ崎,龍ケ崎市駅前交番,082082,茨城県,龍ケ崎市,平台３丁目,2021-11-11,10,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,稲敷,所在地,082295,茨城県,稲敷市,江戸崎,2021-05-26,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,稲敷,所在地,082295,茨城県,稲敷市,月出里,2021-01-16,18,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,稲敷,新利根駐在所,082295,茨城県,稲敷市,上根本,2021-01-08,22,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,稲敷,浮島駐在所,082295,茨城県,稲敷市,浮島,2021-05-06,16,道路上,その他,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-01-16,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-01-17,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-02-24,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-02-24,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-05-14,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-06-26,01,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-06-26,17,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,千代田駐在所,082309,茨城県,かすみがうら市,下稲吉,2021-12-30,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,小松１丁目,2021-05-05,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,小松１丁目,2021-11-20,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町１丁目,2021-01-09,01,道路上,その他,施錠せず,なし
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町１丁目,2021-03-09,21,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町１丁目,2021-07-22,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町１丁目,2021-07-25,01,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町１丁目,2021-09-24,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町２丁目,2021-03-16,20,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,桜町３丁目,2021-03-24,10,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,蓮河原新町,2021-10-06,15,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,土浦駅前交番,082031,茨城県,土浦市,滝田１丁目,2021-01-08,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,上高津,2021-03-21,00,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,上高津新町,2021-02-12,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,宍塚,2021-01-27,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,宍塚,2021-09-29,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,下高津１丁目,2021-11-23,10,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,下高津４丁目,2021-10-08,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,田中２丁目,2021-03-14,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,中高津１丁目,2021-12-12,02,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,永国,2021-12-11,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,文京町交番,082031,茨城県,土浦市,文京町,2021-02-08,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,並木１丁目,2021-06-07,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,並木５丁目,2021-06-07,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,並木５丁目,2021-09-27,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,板谷６丁目,2021-05-19,22,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,板谷６丁目,2021-07-09,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,板谷６丁目,2021-08-08,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,板谷６丁目,2021-11-04,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,藤沢,2021-01-27,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,藤沢,2021-01-27,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,新治都和交番,082031,茨城県,土浦市,藤沢,2021-02-05,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余,2021-05-01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余,2021-05-02,01,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,東真鍋町,2021-02-24,10,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,東真鍋町,2021-10-31,01,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,真鍋１丁目,2021-09-10,21,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,真鍋２丁目,2021-02-04,09,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,真鍋新町,2021-03-20,09,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,真鍋新町,2021-06-24,11,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余東台４丁目,2021-04-26,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余東台４丁目,2021-04-26,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余東台４丁目,2021-11-20,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余東台５丁目,2021-04-26,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余西台,2021-11-04,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余西台,2021-11-04,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,真鍋町交番,082031,茨城県,土浦市,木田余西台,2021-11-04,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立町,2021-11-20,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,中神立町,2021-07-23,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,中神立町,2021-10-06,11,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立中央３丁目,2021-04-29,03,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立中央３丁目,2021-08-29,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立中央４丁目,2021-05-15,20,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立中央５丁目,2021-08-08,14,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立中央５丁目,2021-09-27,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,土浦,神立交番,082031,茨城県,土浦市,神立東１丁目,2021-05-24,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
